growth_level,n_nodes,beta,tau,r2,rmse,t_median,mean_first_time,std_first_time,n_nucleated,nucleation_rate,nucleation_regime,pressure
7,855,0.7877065348468051,18.19621395417549,0.9920578213808163,0.017188627866823385,13.0,21.58,28.52373748301579,50,1.0,Intermediate,24.0
7,855,0.7099395904234183,26.567426899803557,0.9869171371728921,0.02168729097198827,17.0,33.72,45.61931170019995,50,1.0,Intermediate,25.0
7,855,0.8191739652645673,17.9797542450866,0.9824817044129793,0.023166350142749047,14.5,22.88,36.025346632614095,50,1.0,Intermediate,26.0
7,855,0.5470138890663737,28.231893207261333,0.9796934209038833,0.021786503513825224,16.5,47.895833333333336,82.05060419829677,48,0.96,Rate-less (Sear),27.0
7,855,0.635665312759233,24.977285519284344,0.9821543387623235,0.023059890837311782,14.5,35.68,54.24294977229759,50,1.0,Rate-less (Sear),28.0
7,855,0.7285079677043902,32.10485112543882,0.8615343095117904,0.020193285283271606,18.0,134.14,696.0082761002199,50,1.0,Intermediate,29.0
