material,pressure,beta,tau,r2,rmse,n_nucleated,nucleation_rate,median_relative_error_pct,nucleation_regime
ZIF-67 (SOD),27.0,0.5470138890663737,28.231893207261333,0.9796934209038832,0.0217865035138252,48,0.96,12.447622063986362,Rate-less (Sear)
ZIF-67 (SOD),29.0,0.7285079677043902,32.10485112543882,0.8615343095117904,0.0201932852832716,50,1.0,-7.846055770833694,Intermediate
ZIF-71 (RHO),28.0,0.8470448783088579,4.414855561375512,0.981831851524242,0.0314649324496081,50,1.0,28.395712399479134,Intermediate
