Time_Step,Pressure,Average_Filling,Filling_Rate,Pressure_Derivative,MA_Filling,MA_Filling_Rate
0,0.0,0.736214605067064,,,,
1,0.0008333402778356486,0.736214605067064,0.0,0.0008333402778356486,,
2,0.0016666805556712972,0.736214605067064,0.0,0.0008333402778356486,,
3,0.0025000208335069457,0.736214605067064,0.0,0.0008333402778356485,,
4,0.0033333611113425944,0.736214605067064,0.0,0.0008333402778356487,,
5,0.004166701389178243,0.736214605067064,0.0,0.0008333402778356483,,
6,0.005000041667013891,0.736214605067064,0.0,0.0008333402778356487,,
7,0.00583338194484954,0.736214605067064,0.0,0.0008333402778356487,,
8,0.006666722222685189,0.736214605067064,0.0,0.0008333402778356487,,
9,0.0075000625005208375,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,
10,0.008333402778356485,0.736214605067064,0.0,0.0008333402778356478,0.7362146050670642,0.0
11,0.009166743056192134,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
12,0.010000083334027783,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
13,0.010833423611863431,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
14,0.01166676388969908,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
15,0.012500104167534729,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
16,0.013333444445370378,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
17,0.014166784723206026,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
18,0.015000125001041675,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
19,0.015833465278877322,0.736214605067064,0.0,0.000833340277835647,0.7362146050670642,0.0
20,0.01666680555671297,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
21,0.01750014583454862,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
22,0.018333486112384268,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
23,0.019166826390219917,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
24,0.020000166668055566,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
25,0.020833506945891214,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
26,0.021666847223726863,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
27,0.02250018750156251,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
28,0.02333352777939816,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
29,0.02416686805723381,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
30,0.025000208335069458,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
31,0.025833548612905106,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
32,0.026666888890740755,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
33,0.027500229168576404,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
34,0.028333569446412053,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
35,0.0291669097242477,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
36,0.03000025000208335,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
37,0.030833590279919,0.736214605067064,0.0,0.0008333402778356487,0.7362146050670642,0.0
38,0.031666930557754644,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
39,0.032500270835590296,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
40,0.03333361111342594,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
41,0.034166951391261594,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
42,0.03500029166909724,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
43,0.03583363194693289,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
44,0.036666972224768536,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
45,0.03750031250260419,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
46,0.038333652780439834,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
47,0.039166993058275486,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
48,0.04000033333611113,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
49,0.04083367361394678,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
50,0.04166701389178243,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
51,0.04250035416961808,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
52,0.043333694447453726,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
53,0.04416703472528938,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
54,0.04500037500312502,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
55,0.045833715280960675,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
56,0.04666705555879632,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
57,0.04750039583663197,0.736214605067064,0.0,0.0008333402778356522,0.7362146050670642,0.0
58,0.04833373611446762,0.736214605067064,0.0,0.0008333402778356452,0.7362146050670642,0.0
